,Period,Inst_sector,Inst_sector_code,Descriptor,SNA08TRANS,Asset_liability_code,Values
143,2007.03,Other financial intermediaries excluding insurance and pension funds,241,Financial assets Closing balance loans,LE00000,AFA0400,33315
144,2007.03,Other financial intermediaries excluding insurance and pension funds,241,Financial assets Closing balance equity and investment fund shares,LE00000,AFA0500,1784
145,2007.03,Other financial intermediaries excluding insurance and pension funds,241,"Financial assets Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFA0600,..
146,2007.03,Other financial intermediaries excluding insurance and pension funds,241,Financial assets Closing balance financial derivatives and employee stock options,LE00000,AFA0700,99
147,2007.03,Other financial intermediaries excluding insurance and pension funds,241,Financial assets Closing balance other accounts receivable,LE00000,AFA0800,3411
148,2007.03,Other financial intermediaries excluding insurance and pension funds,241,Financial liabilities Closing balance total financial liabilities,LE00000,AFL0000,84279
149,2007.03,Other financial intermediaries excluding insurance and pension funds,241,Financial liabilities Closing balance monetary gold and special drawing rights,LE00000,AFL0100,0
150,2007.03,Other financial intermediaries excluding insurance and pension funds,241,Financial liabilities Closing balance currency and deposits,LE00000,AFL0200,0
151,2007.03,Other financial intermediaries excluding insurance and pension funds,241,Financial liabilities Closing balance debt securities,LE00000,AFL0300,55445
152,2007.03,Other financial intermediaries excluding insurance and pension funds,241,Financial liabilities Closing balance loans,LE00000,AFL0400,19291
153,2007.03,Other financial intermediaries excluding insurance and pension funds,241,Financial liabilities Closing balance equity and investment fund shares,LE00000,AFL0500,8020
154,2007.03,Other financial intermediaries excluding insurance and pension funds,241,"Financial liabilities Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFL0600,0
155,2007.03,Other financial intermediaries excluding insurance and pension funds,241,Financial liabilities Closing balance financial derivatives and employee stock options,LE00000,AFL0700,130
156,2007.03,Other financial intermediaries excluding insurance and pension funds,241,Financial liabilities Closing balance other accounts payable,LE00000,AFL0800,1393
157,2007.03,Other financial intermediaries excluding insurance and pension funds,241,Financial assets Closing balance produced non-financial assets,LE00000,AN10000,735
158,2007.03,Other financial intermediaries excluding insurance and pension funds,241,Financial assets Closing balance non-produced non-financial assets,LE00000,AN20000,14
159,2007.03,Other financial intermediaries excluding insurance and pension funds,241,Closing balance net worth,LE00000,B900000,-650
160,2007.03,Other financial intermediaries excluding insurance and pension funds,241,Closing balance total liabilities and net worth,LE00000,L000000,83629
161,2007.03,Insurance corporations,251,Closing balance total assets,LE00000,A000000,21314
162,2007.03,Insurance corporations,251,Financial assets Closing balance total financial and non-financial assets,LE00000,AFA0000,19849
163,2007.03,Insurance corporations,251,Financial assets Closing balance monetary gold and special drawing rights,LE00000,AFA0100,0
164,2007.03,Insurance corporations,251,Financial assets Closing balance currency and deposits,LE00000,AFA0200,C
165,2007.03,Insurance corporations,251,Financial assets Closing balance debt securities,LE00000,AFA0300,C
166,2007.03,Insurance corporations,251,Financial assets Closing balance loans,LE00000,AFA0400,C
167,2007.03,Insurance corporations,251,Financial assets Closing balance equity and investment fund shares,LE00000,AFA0500,6950
168,2007.03,Insurance corporations,251,"Financial assets Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFA0600,452
169,2007.03,Insurance corporations,251,Financial assets Closing balance financial derivatives and employee stock options,LE00000,AFA0700,159
170,2007.03,Insurance corporations,251,Financial assets Closing balance other accounts receivable,LE00000,AFA0800,3566
171,2007.03,Insurance corporations,251,Financial liabilities Closing balance total financial liabilities,LE00000,AFL0000,22237
172,2007.03,Insurance corporations,251,Financial liabilities Closing balance monetary gold and special drawing rights,LE00000,AFL0100,0
173,2007.03,Insurance corporations,251,Financial liabilities Closing balance currency and deposits,LE00000,AFL0200,0
174,2007.03,Insurance corporations,251,Financial liabilities Closing balance debt securities,LE00000,AFL0300,C
175,2007.03,Insurance corporations,251,Financial liabilities Closing balance loans,LE00000,AFL0400,C
176,2007.03,Insurance corporations,251,Financial liabilities Closing balance equity and investment fund shares,LE00000,AFL0500,8566
177,2007.03,Insurance corporations,251,"Financial liabilities Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFL0600,12816
178,2007.03,Insurance corporations,251,Financial liabilities Closing balance financial derivatives and employee stock options,LE00000,AFL0700,23
179,2007.03,Insurance corporations,251,Financial liabilities Closing balance other accounts payable,LE00000,AFL0800,553
180,2007.03,Insurance corporations,251,Financial assets Closing balance produced non-financial assets,LE00000,AN10000,1016
181,2007.03,Insurance corporations,251,Financial assets Closing balance non-produced non-financial assets,LE00000,AN20000,449
182,2007.03,Insurance corporations,251,Closing balance net worth,LE00000,B900000,-923
183,2007.03,Insurance corporations,251,Closing balance total liabilities and net worth,LE00000,L000000,21314
184,2007.03,Pension funds,261,Closing balance total assets,LE00000,A000000,31919
185,2007.03,Pension funds,261,Financial assets Closing balance total financial and non-financial assets,LE00000,AFA0000,31813
186,2007.03,Pension funds,261,Financial assets Closing balance monetary gold and special drawing rights,LE00000,AFA0100,0
187,2007.03,Pension funds,261,Financial assets Closing balance currency and deposits,LE00000,AFA0200,862
188,2007.03,Pension funds,261,Financial assets Closing balance debt securities,LE00000,AFA0300,1829
189,2007.03,Pension funds,261,Financial assets Closing balance loans,LE00000,AFA0400,0
190,2007.03,Pension funds,261,Financial assets Closing balance equity and investment fund shares,LE00000,AFA0500,19832
191,2007.03,Pension funds,261,"Financial assets Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFA0600,9290
192,2007.03,Pension funds,261,Financial assets Closing balance financial derivatives and employee stock options,LE00000,AFA0700,0
193,2007.03,Pension funds,261,Financial assets Closing balance other accounts receivable,LE00000,AFA0800,0
194,2007.03,Pension funds,261,Financial liabilities Closing balance total financial liabilities,LE00000,AFL0000,31919
195,2007.03,Pension funds,261,Financial liabilities Closing balance monetary gold and special drawing rights,LE00000,AFL0100,0
196,2007.03,Pension funds,261,Financial liabilities Closing balance currency and deposits,LE00000,AFL0200,0
197,2007.03,Pension funds,261,Financial liabilities Closing balance debt securities,LE00000,AFL0300,0
198,2007.03,Pension funds,261,Financial liabilities Closing balance loans,LE00000,AFL0400,0
199,2007.03,Pension funds,261,Financial liabilities Closing balance equity and investment fund shares,LE00000,AFL0500,0
200,2007.03,Pension funds,261,"Financial liabilities Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFL0600,31919
201,2007.03,Pension funds,261,Financial liabilities Closing balance financial derivatives and employee stock options,LE00000,AFL0700,..
202,2007.03,Pension funds,261,Financial liabilities Closing balance other accounts payable,LE00000,AFL0800,..
203,2007.03,Pension funds,261,Financial assets Closing balance produced non-financial assets,LE00000,AN10000,67
204,2007.03,Pension funds,261,Financial assets Closing balance non-produced non-financial assets,LE00000,AN20000,39
