,Period,Inst_sector,Inst_sector_code,Descriptor,SNA08TRANS,Asset_liability_code,Values
2455,2012.03,Central government institutions excluding funded social insurance schemes,311,Financial liabilities Closing balance financial derivatives and employee stock options,LE00000,AFL0700,842
2456,2012.03,Central government institutions excluding funded social insurance schemes,311,Financial liabilities Closing balance other accounts payable,LE00000,AFL0800,13885
2457,2012.03,Central government institutions excluding funded social insurance schemes,311,Financial assets Closing balance produced non-financial assets,LE00000,AN10000,67855
2458,2012.03,Central government institutions excluding funded social insurance schemes,311,Financial assets Closing balance non-produced non-financial assets,LE00000,AN20000,22434
2459,2012.03,Central government institutions excluding funded social insurance schemes,311,Closing balance net worth,LE00000,B900000,100947
2460,2012.03,Central government institutions excluding funded social insurance schemes,311,Closing balance total liabilities and net worth,LE00000,L000000,207226
2461,2012.03,Central government institutions funded social insurance schemes,312,Closing balance total assets,LE00000,A000000,31075
2462,2012.03,Central government institutions funded social insurance schemes,312,Financial assets Closing balance total financial and non-financial assets,LE00000,AFA0000,31062
2463,2012.03,Central government institutions funded social insurance schemes,312,Financial assets Closing balance monetary gold and special drawing rights,LE00000,AFA0100,0
2464,2012.03,Central government institutions funded social insurance schemes,312,Financial assets Closing balance currency and deposits,LE00000,AFA0200,1021
2465,2012.03,Central government institutions funded social insurance schemes,312,Financial assets Closing balance debt securities,LE00000,AFA0300,16389
2466,2012.03,Central government institutions funded social insurance schemes,312,Financial assets Closing balance loans,LE00000,AFA0400,0
2467,2012.03,Central government institutions funded social insurance schemes,312,Financial assets Closing balance equity and investment fund shares,LE00000,AFA0500,7848
2468,2012.03,Central government institutions funded social insurance schemes,312,"Financial assets Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFA0600,4331
2469,2012.03,Central government institutions funded social insurance schemes,312,Financial assets Closing balance financial derivatives and employee stock options,LE00000,AFA0700,214
2470,2012.03,Central government institutions funded social insurance schemes,312,Financial assets Closing balance other accounts receivable,LE00000,AFA0800,1258
2471,2012.03,Central government institutions funded social insurance schemes,312,Financial liabilities Closing balance total financial liabilities,LE00000,AFL0000,12155
2472,2012.03,Central government institutions funded social insurance schemes,312,Financial liabilities Closing balance monetary gold and special drawing rights,LE00000,AFL0100,0
2473,2012.03,Central government institutions funded social insurance schemes,312,Financial liabilities Closing balance currency and deposits,LE00000,AFL0200,0
2474,2012.03,Central government institutions funded social insurance schemes,312,Financial liabilities Closing balance debt securities,LE00000,AFL0300,0
2475,2012.03,Central government institutions funded social insurance schemes,312,Financial liabilities Closing balance loans,LE00000,AFL0400,0
2476,2012.03,Central government institutions funded social insurance schemes,312,Financial liabilities Closing balance equity and investment fund shares,LE00000,AFL0500,0
2477,2012.03,Central government institutions funded social insurance schemes,312,"Financial liabilities Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFL0600,9160
2478,2012.03,Central government institutions funded social insurance schemes,312,Financial liabilities Closing balance financial derivatives and employee stock options,LE00000,AFL0700,3
2479,2012.03,Central government institutions funded social insurance schemes,312,Financial liabilities Closing balance other accounts payable,LE00000,AFL0800,2992
2480,2012.03,Central government institutions funded social insurance schemes,312,Financial assets Closing balance produced non-financial assets,LE00000,AN10000,0
2481,2012.03,Central government institutions funded social insurance schemes,312,Financial assets Closing balance non-produced non-financial assets,LE00000,AN20000,14
2482,2012.03,Central government institutions funded social insurance schemes,312,Closing balance net worth,LE00000,B900000,18921
2483,2012.03,Central government institutions funded social insurance schemes,312,Closing balance total liabilities and net worth,LE00000,L000000,31075
2484,2012.03,Local government institutions,321,Closing balance total assets,LE00000,A000000,83257
2485,2012.03,Local government institutions,321,Financial assets Closing balance total financial and non-financial assets,LE00000,AFA0000,14286
2486,2012.03,Local government institutions,321,Financial assets Closing balance monetary gold and special drawing rights,LE00000,AFA0100,0
2487,2012.03,Local government institutions,321,Financial assets Closing balance currency and deposits,LE00000,AFA0200,895
2488,2012.03,Local government institutions,321,Financial assets Closing balance debt securities,LE00000,AFA0300,958
2489,2012.03,Local government institutions,321,Financial assets Closing balance loans,LE00000,AFA0400,1258
2490,2012.03,Local government institutions,321,Financial assets Closing balance equity and investment fund shares,LE00000,AFA0500,9592
2491,2012.03,Local government institutions,321,"Financial assets Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFA0600,0
2492,2012.03,Local government institutions,321,Financial assets Closing balance financial derivatives and employee stock options,LE00000,AFA0700,172
2493,2012.03,Local government institutions,321,Financial assets Closing balance other accounts receivable,LE00000,AFA0800,1410
2494,2012.03,Local government institutions,321,Financial liabilities Closing balance total financial liabilities,LE00000,AFL0000,11640
2495,2012.03,Local government institutions,321,Financial liabilities Closing balance monetary gold and special drawing rights,LE00000,AFL0100,0
2496,2012.03,Local government institutions,321,Financial liabilities Closing balance currency and deposits,LE00000,AFL0200,0
2497,2012.03,Local government institutions,321,Financial liabilities Closing balance debt securities,LE00000,AFL0300,4420
2498,2012.03,Local government institutions,321,Financial liabilities Closing balance loans,LE00000,AFL0400,4196
2499,2012.03,Local government institutions,321,Financial liabilities Closing balance equity and investment fund shares,LE00000,AFL0500,0
2500,2012.03,Local government institutions,321,"Financial liabilities Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFL0600,0
2501,2012.03,Local government institutions,321,Financial liabilities Closing balance financial derivatives and employee stock options,LE00000,AFL0700,511
2502,2012.03,Local government institutions,321,Financial liabilities Closing balance other accounts payable,LE00000,AFL0800,2513
2503,2012.03,Local government institutions,321,Financial assets Closing balance produced non-financial assets,LE00000,AN10000,40859
2504,2012.03,Local government institutions,321,Financial assets Closing balance non-produced non-financial assets,LE00000,AN20000,28112
2505,2012.03,Local government institutions,321,Closing balance net worth,LE00000,B900000,71617
2506,2012.03,Local government institutions,321,Closing balance total liabilities and net worth,LE00000,L000000,83257
2507,2012.03,Non-profit institutions serving households,400,Closing balance total assets,LE00000,A000000,27397
2508,2012.03,Non-profit institutions serving households,400,Financial assets Closing balance total financial and non-financial assets,LE00000,AFA0000,11831
2509,2012.03,Non-profit institutions serving households,400,Financial assets Closing balance monetary gold and special drawing rights,LE00000,AFA0100,0
2510,2012.03,Non-profit institutions serving households,400,Financial assets Closing balance currency and deposits,LE00000,AFA0200,4594
2511,2012.03,Non-profit institutions serving households,400,Financial assets Closing balance debt securities,LE00000,AFA0300,174
2512,2012.03,Non-profit institutions serving households,400,Financial assets Closing balance loans,LE00000,AFA0400,6363
2513,2012.03,Non-profit institutions serving households,400,Financial assets Closing balance equity and investment fund shares,LE00000,AFA0500,371
2514,2012.03,Non-profit institutions serving households,400,"Financial assets Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFA0600,..
2515,2012.03,Non-profit institutions serving households,400,Financial assets Closing balance financial derivatives and employee stock options,LE00000,AFA0700,34
2516,2012.03,Non-profit institutions serving households,400,Financial assets Closing balance other accounts receivable,LE00000,AFA0800,295
2517,2012.03,Non-profit institutions serving households,400,Financial liabilities Closing balance total financial liabilities,LE00000,AFL0000,656
2518,2012.03,Non-profit institutions serving households,400,Financial liabilities Closing balance monetary gold and special drawing rights,LE00000,AFL0100,0
2519,2012.03,Non-profit institutions serving households,400,Financial liabilities Closing balance currency and deposits,LE00000,AFL0200,0
2520,2012.03,Non-profit institutions serving households,400,Financial liabilities Closing balance debt securities,LE00000,AFL0300,1
2521,2012.03,Non-profit institutions serving households,400,Financial liabilities Closing balance loans,LE00000,AFL0400,413
2522,2012.03,Non-profit institutions serving households,400,Financial liabilities Closing balance equity and investment fund shares,LE00000,AFL0500,0
2523,2012.03,Non-profit institutions serving households,400,"Financial liabilities Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFL0600,0
2524,2012.03,Non-profit institutions serving households,400,Financial liabilities Closing balance financial derivatives and employee stock options,LE00000,AFL0700,..
2525,2012.03,Non-profit institutions serving households,400,Financial liabilities Closing balance other accounts payable,LE00000,AFL0800,242
2526,2012.03,Non-profit institutions serving households,400,Financial assets Closing balance produced non-financial assets,LE00000,AN10000,7632
2527,2012.03,Non-profit institutions serving households,400,Financial assets Closing balance non-produced non-financial assets,LE00000,AN20000,7934
2528,2012.03,Non-profit institutions serving households,400,Closing balance net worth,LE00000,B900000,26741
2529,2012.03,Non-profit institutions serving households,400,Closing balance total liabilities and net worth,LE00000,L000000,27397
2530,2012.03,Households,511,Closing balance total assets,LE00000,A000000,1154053
2531,2012.03,Households,511,Financial assets Closing balance total financial and non-financial assets,LE00000,AFA0000,684088
2532,2012.03,Households,511,Financial assets Closing balance monetary gold and special drawing rights,LE00000,AFA0100,0
2533,2012.03,Households,511,Financial assets Closing balance currency and deposits,LE00000,AFA0200,109218
2534,2012.03,Households,511,Financial assets Closing balance debt securities,LE00000,AFA0300,5520
2535,2012.03,Households,511,Financial assets Closing balance loans,LE00000,AFA0400,541
2536,2012.03,Households,511,Financial assets Closing balance equity and investment fund shares,LE00000,AFA0500,506635
2537,2012.03,Households,511,"Financial assets Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFA0600,62174
2538,2012.03,Households,511,Financial assets Closing balance financial derivatives and employee stock options,LE00000,AFA0700,0
2539,2012.03,Households,511,Financial assets Closing balance other accounts receivable,LE00000,AFA0800,..
2540,2012.03,Households,511,Financial liabilities Closing balance total financial liabilities,LE00000,AFL0000,147777
2541,2012.03,Households,511,Financial liabilities Closing balance monetary gold and special drawing rights,LE00000,AFL0100,0
2542,2012.03,Households,511,Financial liabilities Closing balance currency and deposits,LE00000,AFL0200,0
2543,2012.03,Households,511,Financial liabilities Closing balance debt securities,LE00000,AFL0300,0
2544,2012.03,Households,511,Financial liabilities Closing balance loans,LE00000,AFL0400,147777
2545,2012.03,Households,511,Financial liabilities Closing balance equity and investment fund shares,LE00000,AFL0500,0
2546,2012.03,Households,511,"Financial liabilities Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFL0600,0
2547,2012.03,Households,511,Financial liabilities Closing balance financial derivatives and employee stock options,LE00000,AFL0700,0
2548,2012.03,Households,511,Financial liabilities Closing balance other accounts payable,LE00000,AFL0800,..
2549,2012.03,Households,511,Financial assets Closing balance produced non-financial assets,LE00000,AN10000,188374
2550,2012.03,Households,511,Financial assets Closing balance non-produced non-financial assets,LE00000,AN20000,281591
2551,2012.03,Households,511,Closing balance net worth,LE00000,B900000,1006276
2552,2012.03,Households,511,Closing balance total liabilities and net worth,LE00000,L000000,1154053
2553,2012.03,Rest of the world,611,Closing balance total assets,LE00000,A000000,319456
2554,2012.03,Rest of the world,611,Financial assets Closing balance total financial and non-financial assets,LE00000,AFA0000,319456
2555,2012.03,Rest of the world,611,Financial assets Closing balance monetary gold and special drawing rights,LE00000,AFA0100,1616
2556,2012.03,Rest of the world,611,Financial assets Closing balance currency and deposits,LE00000,AFA0200,27582
2557,2012.03,Rest of the world,611,Financial assets Closing balance debt securities,LE00000,AFA0300,124594
2558,2012.03,Rest of the world,611,Financial assets Closing balance loans,LE00000,AFA0400,75783
2559,2012.03,Rest of the world,611,Financial assets Closing balance equity and investment fund shares,LE00000,AFA0500,63106
2560,2012.03,Rest of the world,611,"Financial assets Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFA0600,0
2561,2012.03,Rest of the world,611,Financial assets Closing balance financial derivatives and employee stock options,LE00000,AFA0700,19195
2562,2012.03,Rest of the world,611,Financial assets Closing balance other accounts receivable,LE00000,AFA0800,7581
2563,2012.03,Rest of the world,611,Financial liabilities Closing balance total financial liabilities,LE00000,AFL0000,176924
2564,2012.03,Rest of the world,611,Financial liabilities Closing balance monetary gold and special drawing rights,LE00000,AFL0100,1557
2565,2012.03,Rest of the world,611,Financial liabilities Closing balance currency and deposits,LE00000,AFL0200,6290
2566,2012.03,Rest of the world,611,Financial liabilities Closing balance debt securities,LE00000,AFL0300,39123
2567,2012.03,Rest of the world,611,Financial liabilities Closing balance loans,LE00000,AFL0400,17562
2568,2012.03,Rest of the world,611,Financial liabilities Closing balance equity and investment fund shares,LE00000,AFL0500,61165
2569,2012.03,Rest of the world,611,"Financial liabilities Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFL0600,19632
2570,2012.03,Rest of the world,611,Financial liabilities Closing balance financial derivatives and employee stock options,LE00000,AFL0700,19571
2571,2012.03,Rest of the world,611,Financial liabilities Closing balance other accounts payable,LE00000,AFL0800,12024
2572,2012.03,Rest of the world,611,Financial assets Closing balance produced non-financial assets,LE00000,AN10000,0
2573,2012.03,Rest of the world,611,Financial assets Closing balance non-produced non-financial assets,LE00000,AN20000,0
2574,2012.03,Rest of the world,611,Closing balance net worth,LE00000,B900000,142532
2575,2012.03,Rest of the world,611,Closing balance total liabilities and net worth,LE00000,L000000,319456
2576,2012.03,Total economy (excl rest of the world),800,Closing balance total assets,LE00000,A000000,3500303
2577,2012.03,Total economy (excl rest of the world),800,Financial assets Closing balance total financial and non-financial assets,LE00000,AFA0000,2138553
2578,2012.03,Total economy (excl rest of the world),800,Financial assets Closing balance monetary gold and special drawing rights,LE00000,AFA0100,1557
2579,2012.03,Total economy (excl rest of the world),800,Financial assets Closing balance currency and deposits,LE00000,AFA0200,229842
2580,2012.03,Total economy (excl rest of the world),800,Financial assets Closing balance debt securities,LE00000,AFA0300,198280
2581,2012.03,Total economy (excl rest of the world),800,Financial assets Closing balance loans,LE00000,AFA0400,575138
2582,2012.03,Total economy (excl rest of the world),800,Financial assets Closing balance equity and investment fund shares,LE00000,AFA0500,848696
2583,2012.03,Total economy (excl rest of the world),800,"Financial assets Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFA0600,109290
2584,2012.03,Total economy (excl rest of the world),800,Financial assets Closing balance financial derivatives and employee stock options,LE00000,AFA0700,31667
2585,2012.03,Total economy (excl rest of the world),800,Financial assets Closing balance other accounts receivable,LE00000,AFA0800,144084
2586,2012.03,Total economy (excl rest of the world),800,Financial liabilities Closing balance total financial liabilities,LE00000,AFL0000,2281085
2587,2012.03,Total economy (excl rest of the world),800,Financial liabilities Closing balance monetary gold and special drawing rights,LE00000,AFL0100,1616
2588,2012.03,Total economy (excl rest of the world),800,Financial liabilities Closing balance currency and deposits,LE00000,AFL0200,251134
2589,2012.03,Total economy (excl rest of the world),800,Financial liabilities Closing balance debt securities,LE00000,AFL0300,283750
2590,2012.03,Total economy (excl rest of the world),800,Financial liabilities Closing balance loans,LE00000,AFL0400,633359
2591,2012.03,Total economy (excl rest of the world),800,Financial liabilities Closing balance equity and investment fund shares,LE00000,AFL0500,850637
2592,2012.03,Total economy (excl rest of the world),800,"Financial liabilities Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFL0600,89658
2593,2012.03,Total economy (excl rest of the world),800,Financial liabilities Closing balance financial derivatives and employee stock options,LE00000,AFL0700,31291
2594,2012.03,Total economy (excl rest of the world),800,Financial liabilities Closing balance other accounts payable,LE00000,AFL0800,139641
2595,2012.03,Total economy (excl rest of the world),800,Financial assets Closing balance produced non-financial assets,LE00000,AN10000,668448
2596,2012.03,Total economy (excl rest of the world),800,Financial assets Closing balance non-produced non-financial assets,LE00000,AN20000,693301
2597,2012.03,Total economy (excl rest of the world),800,Closing balance net worth,LE00000,B900000,1219218
2598,2012.03,Total economy (excl rest of the world),800,Closing balance total liabilities and net worth,LE00000,L000000,3500303
2599,2012.03,Total all sectors,900,Closing balance total assets,LE00000,A000000,3819759
2600,2012.03,Total all sectors,900,Financial assets Closing balance total financial and non-financial assets,LE00000,AFA0000,2458009
2601,2012.03,Total all sectors,900,Financial assets Closing balance monetary gold and special drawing rights,LE00000,AFA0100,3173
2602,2012.03,Total all sectors,900,Financial assets Closing balance currency and deposits,LE00000,AFA0200,257424
2603,2012.03,Total all sectors,900,Financial assets Closing balance debt securities,LE00000,AFA0300,322873
2604,2012.03,Total all sectors,900,Financial assets Closing balance loans,LE00000,AFA0400,650921
2605,2012.03,Total all sectors,900,Financial assets Closing balance equity and investment fund shares,LE00000,AFA0500,911801
2606,2012.03,Total all sectors,900,"Financial assets Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFA0600,109290
2607,2012.03,Total all sectors,900,Financial assets Closing balance financial derivatives and employee stock options,LE00000,AFA0700,50862
2608,2012.03,Total all sectors,900,Financial assets Closing balance other accounts receivable,LE00000,AFA0800,151665
2609,2012.03,Total all sectors,900,Financial liabilities Closing balance total financial liabilities,LE00000,AFL0000,2458009
2610,2012.03,Total all sectors,900,Financial liabilities Closing balance monetary gold and special drawing rights,LE00000,AFL0100,3173
2611,2012.03,Total all sectors,900,Financial liabilities Closing balance currency and deposits,LE00000,AFL0200,257424
2612,2012.03,Total all sectors,900,Financial liabilities Closing balance debt securities,LE00000,AFL0300,322873
2613,2012.03,Total all sectors,900,Financial liabilities Closing balance loans,LE00000,AFL0400,650921
2614,2012.03,Total all sectors,900,Financial liabilities Closing balance equity and investment fund shares,LE00000,AFL0500,911801
2615,2012.03,Total all sectors,900,"Financial liabilities Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFL0600,109290
2616,2012.03,Total all sectors,900,Financial liabilities Closing balance financial derivatives and employee stock options,LE00000,AFL0700,50862
2617,2012.03,Total all sectors,900,Financial liabilities Closing balance other accounts payable,LE00000,AFL0800,151665
2618,2012.03,Total all sectors,900,Financial assets Closing balance produced non-financial assets,LE00000,AN10000,668448
2619,2012.03,Total all sectors,900,Financial assets Closing balance non-produced non-financial assets,LE00000,AN20000,693301
2620,2012.03,Total all sectors,900,Closing balance net worth,LE00000,B900000,1361749
2621,2012.03,Total all sectors,900,Closing balance total liabilities and net worth,LE00000,L000000,3819759
2622,2013.03,Non-corporate business enterprises,121,Closing balance total assets,LE00000,A000000,405364
2623,2013.03,Non-corporate business enterprises,121,Financial assets Closing balance total financial and non-financial assets,LE00000,AFA0000,122003
2624,2013.03,Non-corporate business enterprises,121,Financial assets Closing balance monetary gold and special drawing rights,LE00000,AFA0100,0
2625,2013.03,Non-corporate business enterprises,121,Financial assets Closing balance currency and deposits,LE00000,AFA0200,20898
2626,2013.03,Non-corporate business enterprises,121,Financial assets Closing balance debt securities,LE00000,AFA0300,4565
2627,2013.03,Non-corporate business enterprises,121,Financial assets Closing balance loans,LE00000,AFA0400,39041
2628,2013.03,Non-corporate business enterprises,121,Financial assets Closing balance equity and investment fund shares,LE00000,AFA0500,51236
2629,2013.03,Non-corporate business enterprises,121,"Financial assets Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFA0600,2946
2630,2013.03,Non-corporate business enterprises,121,Financial assets Closing balance financial derivatives and employee stock options,LE00000,AFA0700,0
2631,2013.03,Non-corporate business enterprises,121,Financial assets Closing balance other accounts receivable,LE00000,AFA0800,3317
2632,2013.03,Non-corporate business enterprises,121,Financial liabilities Closing balance total financial liabilities,LE00000,AFL0000,405364
2633,2013.03,Non-corporate business enterprises,121,Financial liabilities Closing balance monetary gold and special drawing rights,LE00000,AFL0100,0
2634,2013.03,Non-corporate business enterprises,121,Financial liabilities Closing balance currency and deposits,LE00000,AFL0200,0
2635,2013.03,Non-corporate business enterprises,121,Financial liabilities Closing balance debt securities,LE00000,AFL0300,2491
2636,2013.03,Non-corporate business enterprises,121,Financial liabilities Closing balance loans,LE00000,AFL0400,81783
2637,2013.03,Non-corporate business enterprises,121,Financial liabilities Closing balance equity and investment fund shares,LE00000,AFL0500,316949
2638,2013.03,Non-corporate business enterprises,121,"Financial liabilities Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFL0600,0
2639,2013.03,Non-corporate business enterprises,121,Financial liabilities Closing balance financial derivatives and employee stock options,LE00000,AFL0700,0
2640,2013.03,Non-corporate business enterprises,121,Financial liabilities Closing balance other accounts payable,LE00000,AFL0800,4141
2641,2013.03,Non-corporate business enterprises,121,Financial assets Closing balance produced non-financial assets,LE00000,AN10000,109212
2642,2013.03,Non-corporate business enterprises,121,Financial assets Closing balance non-produced non-financial assets,LE00000,AN20000,174148
2643,2013.03,Non-corporate business enterprises,121,Closing balance net worth,LE00000,B900000,0
2644,2013.03,Non-corporate business enterprises,121,Closing balance total liabilities and net worth,LE00000,L000000,405364
2645,2013.03,Corporate business enterprises,141,Closing balance total assets,LE00000,A000000,681380
2646,2013.03,Corporate business enterprises,141,Financial assets Closing balance total financial and non-financial assets,LE00000,AFA0000,247192
2647,2013.03,Corporate business enterprises,141,Financial assets Closing balance monetary gold and special drawing rights,LE00000,AFA0100,0
2648,2013.03,Corporate business enterprises,141,Financial assets Closing balance currency and deposits,LE00000,AFA0200,28272
2649,2013.03,Corporate business enterprises,141,Financial assets Closing balance debt securities,LE00000,AFA0300,5777
2650,2013.03,Corporate business enterprises,141,Financial assets Closing balance loans,LE00000,AFA0400,54642
2651,2013.03,Corporate business enterprises,141,Financial assets Closing balance equity and investment fund shares,LE00000,AFA0500,68157
2652,2013.03,Corporate business enterprises,141,"Financial assets Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFA0600,8250
2653,2013.03,Corporate business enterprises,141,Financial assets Closing balance financial derivatives and employee stock options,LE00000,AFA0700,2545
2654,2013.03,Corporate business enterprises,141,Financial assets Closing balance other accounts receivable,LE00000,AFA0800,79549
2655,2013.03,Corporate business enterprises,141,Financial liabilities Closing balance total financial liabilities,LE00000,AFL0000,681244
2656,2013.03,Corporate business enterprises,141,Financial liabilities Closing balance monetary gold and special drawing rights,LE00000,AFL0100,0
2657,2013.03,Corporate business enterprises,141,Financial liabilities Closing balance currency and deposits,LE00000,AFL0200,0
2658,2013.03,Corporate business enterprises,141,Financial liabilities Closing balance debt securities,LE00000,AFL0300,23221
2659,2013.03,Corporate business enterprises,141,Financial liabilities Closing balance loans,LE00000,AFL0400,239887
2660,2013.03,Corporate business enterprises,141,Financial liabilities Closing balance equity and investment fund shares,LE00000,AFL0500,324482
2661,2013.03,Corporate business enterprises,141,"Financial liabilities Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFL0600,0
2662,2013.03,Corporate business enterprises,141,Financial liabilities Closing balance financial derivatives and employee stock options,LE00000,AFL0700,3406
2663,2013.03,Corporate business enterprises,141,Financial liabilities Closing balance other accounts payable,LE00000,AFL0800,90248
2664,2013.03,Corporate business enterprises,141,Financial assets Closing balance produced non-financial assets,LE00000,AN10000,257745
2665,2013.03,Corporate business enterprises,141,Financial assets Closing balance non-produced non-financial assets,LE00000,AN20000,176443
2666,2013.03,Corporate business enterprises,141,Closing balance net worth,LE00000,B900000,136
2667,2013.03,Corporate business enterprises,141,Closing balance total liabilities and net worth,LE00000,L000000,681380
2668,2013.03,Central bank,211,Closing balance total assets,LE00000,A000000,28279
2669,2013.03,Central bank,211,Financial assets Closing balance total financial and non-financial assets,LE00000,AFA0000,28221
2670,2013.03,Central bank,211,Financial assets Closing balance monetary gold and special drawing rights,LE00000,AFA0100,0
2671,2013.03,Central bank,211,Financial assets Closing balance currency and deposits,LE00000,AFA0200,3970
2672,2013.03,Central bank,211,Financial assets Closing balance debt securities,LE00000,AFA0300,19884
2673,2013.03,Central bank,211,Financial assets Closing balance loans,LE00000,AFA0400,2594
2674,2013.03,Central bank,211,Financial assets Closing balance equity and investment fund shares,LE00000,AFA0500,136
2675,2013.03,Central bank,211,"Financial assets Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFA0600,0
2676,2013.03,Central bank,211,Financial assets Closing balance financial derivatives and employee stock options,LE00000,AFA0700,1608
2677,2013.03,Central bank,211,Financial assets Closing balance other accounts receivable,LE00000,AFA0800,29
2678,2013.03,Central bank,211,Financial liabilities Closing balance total financial liabilities,LE00000,AFL0000,28279
2679,2013.03,Central bank,211,Financial liabilities Closing balance monetary gold and special drawing rights,LE00000,AFL0100,0
2680,2013.03,Central bank,211,Financial liabilities Closing balance currency and deposits,LE00000,AFL0200,22658
2681,2013.03,Central bank,211,Financial liabilities Closing balance debt securities,LE00000,AFL0300,0
2682,2013.03,Central bank,211,Financial liabilities Closing balance loans,LE00000,AFL0400,2445
2683,2013.03,Central bank,211,Financial liabilities Closing balance equity and investment fund shares,LE00000,AFL0500,2684
2684,2013.03,Central bank,211,"Financial liabilities Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFL0600,0
2685,2013.03,Central bank,211,Financial liabilities Closing balance financial derivatives and employee stock options,LE00000,AFL0700,278
2686,2013.03,Central bank,211,Financial liabilities Closing balance other accounts payable,LE00000,AFL0800,214
2687,2013.03,Central bank,211,Financial assets Closing balance produced non-financial assets,LE00000,AN10000,42
2688,2013.03,Central bank,211,Financial assets Closing balance non-produced non-financial assets,LE00000,AN20000,16
2689,2013.03,Central bank,211,Closing balance net worth,LE00000,B900000,0
2690,2013.03,Central bank,211,Closing balance total liabilities and net worth,LE00000,L000000,28279
2691,2013.03,Registered banks,221,Closing balance total assets,LE00000,A000000,404482
2692,2013.03,Registered banks,221,Financial assets Closing balance total financial and non-financial assets,LE00000,AFA0000,397215
2693,2013.03,Registered banks,221,Financial assets Closing balance monetary gold and special drawing rights,LE00000,AFA0100,0
2694,2013.03,Registered banks,221,Financial assets Closing balance currency and deposits,LE00000,AFA0200,9970
2695,2013.03,Registered banks,221,Financial assets Closing balance debt securities,LE00000,AFA0300,37211
2696,2013.03,Registered banks,221,Financial assets Closing balance loans,LE00000,AFA0400,325763
2697,2013.03,Registered banks,221,Financial assets Closing balance equity and investment fund shares,LE00000,AFA0500,257
2698,2013.03,Registered banks,221,"Financial assets Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFA0600,..
2699,2013.03,Registered banks,221,Financial assets Closing balance financial derivatives and employee stock options,LE00000,AFA0700,20392
2700,2013.03,Registered banks,221,Financial assets Closing balance other accounts receivable,LE00000,AFA0800,3622
2701,2013.03,Registered banks,221,Financial liabilities Closing balance total financial liabilities,LE00000,AFL0000,417750
2702,2013.03,Registered banks,221,Financial liabilities Closing balance monetary gold and special drawing rights,LE00000,AFL0100,0
2703,2013.03,Registered banks,221,Financial liabilities Closing balance currency and deposits,LE00000,AFL0200,236081
2704,2013.03,Registered banks,221,Financial liabilities Closing balance debt securities,LE00000,AFL0300,87277
2705,2013.03,Registered banks,221,Financial liabilities Closing balance loans,LE00000,AFL0400,37784
2706,2013.03,Registered banks,221,Financial liabilities Closing balance equity and investment fund shares,LE00000,AFL0500,33740
2707,2013.03,Registered banks,221,"Financial liabilities Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFL0600,0
2708,2013.03,Registered banks,221,Financial liabilities Closing balance financial derivatives and employee stock options,LE00000,AFL0700,22798
2709,2013.03,Registered banks,221,Financial liabilities Closing balance other accounts payable,LE00000,AFL0800,70
2710,2013.03,Registered banks,221,Financial assets Closing balance produced non-financial assets,LE00000,AN10000,2090
2711,2013.03,Registered banks,221,Financial assets Closing balance non-produced non-financial assets,LE00000,AN20000,5177
2712,2013.03,Registered banks,221,Closing balance net worth,LE00000,B900000,-13268
2713,2013.03,Registered banks,221,Closing balance total liabilities and net worth,LE00000,L000000,404482
2714,2013.03,Other depository institutions,222,Closing balance total assets,LE00000,A000000,3918
2715,2013.03,Other depository institutions,222,Financial assets Closing balance total financial and non-financial assets,LE00000,AFA0000,3781
2716,2013.03,Other depository institutions,222,Financial assets Closing balance monetary gold and special drawing rights,LE00000,AFA0100,0
2717,2013.03,Other depository institutions,222,Financial assets Closing balance currency and deposits,LE00000,AFA0200,6
2718,2013.03,Other depository institutions,222,Financial assets Closing balance debt securities,LE00000,AFA0300,1
2719,2013.03,Other depository institutions,222,Financial assets Closing balance loans,LE00000,AFA0400,3774
2720,2013.03,Other depository institutions,222,Financial assets Closing balance equity and investment fund shares,LE00000,AFA0500,..
2721,2013.03,Other depository institutions,222,"Financial assets Closing balance insurance, pension and standardised guarantee schemes",LE00000,AFA0600,..
2722,2013.03,Other depository institutions,222,Financial assets Closing balance financial derivatives and employee stock options,LE00000,AFA0700,..
2723,2013.03,Other depository institutions,222,Financial assets Closing balance other accounts receivable,LE00000,AFA0800,..
